Date,Time,Flow,AMLE,MLE,LAD
20210302,1200,24.75,1100.5,1100.5,1170.5
20210303,1200,26.25,1218.7,1218.8,1297.3
20210304,1200,21.29,851.8,851.8,893.3
20210305,1200,19.90,759.6,759.6,791.9
20210306,1200,21.54,873.7,873.7,911.7
20210307,1200,22.09,915.5,915.6,954.1
20210308,1200,29.63,1518.7,1518.8,1609.6
20210309,1200,38.59,2380.2,2380.8,2578.4
20210310,1200,24.02,1071.1,1071.1,1113.2
20210311,1200,15.93,528.5,528.5,538.2
20210312,1200,12.94,368.9,368.9,373.3
20210313,1200,11.34,293.8,293.8,296.5
20210314,1200,10.51,258.5,258.5,260.2
20210315,1200,10.07,241.3,241.3,242.5
20210316,1200,9.43,216.3,216.3,217.0
20210317,1200,9.08,203.9,203.9,204.2
20210318,1200,8.93,199.8,199.8,199.6
20210319,1200,16.41,591.9,591.9,592.7
20210320,1200,17.46,665.7,665.7,667.0
20210321,1200,15.08,521.0,521.0,518.5
20210322,1200,12.23,364.6,364.6,360.6
20210323,1200,13.75,453.2,453.2,448.2
20210324,1200,11.64,342.0,342.0,336.8
20210325,1200,11.99,364.8,364.8,358.7
20210326,1200,12.51,398.2,398.2,391.1
20210327,1200,10.29,285.7,285.7,279.6
20210328,1200,9.59,255.6,255.6,249.7
20210329,1200,9.85,271.9,271.9,265.2
20210330,1200,9.18,243.5,243.5,237.1
20210331,1200,8.08,196.8,196.8,191.5
20210401,1200,7.26,165.0,165.0,160.6
20210402,1200,6.75,147.1,147.1,143.2
20210403,1200,6.84,153.2,153.2,148.8
20210404,1200,7.13,168.0,168.0,162.7
20210405,1200,12.75,478.5,478.5,464.2
20210406,1200,11.04,378.4,378.4,365.3
20210407,1200,9.50,295.6,295.6,284.5
20210408,1200,8.49,246.7,246.7,237.0
20210409,1200,7.80,216.2,216.2,207.5
20210410,1200,7.12,187.3,187.3,179.7
20210411,1200,6.87,179.2,179.2,171.8
20210412,1200,6.18,151.3,151.3,145.0
20210413,1200,5.50,125.2,125.2,120.2
20210414,1200,4.94,105.3,105.3,101.3
20210415,1200,4.68,97.5,97.5,93.9
20210416,1200,4.40,89.1,89.1,85.9
20210417,1200,4.29,87.1,87.1,83.8
20210418,1200,4.30,89.5,89.5,86.0
20210419,1200,4.32,92.3,92.3,88.6
20210420,1200,4.55,103.8,103.8,99.3
20210421,1200,4.38,99.2,99.2,94.9
20210422,1200,4.15,92.2,92.2,88.2
20210423,1200,4.16,94.8,94.8,90.6
20210424,1200,4.16,97.2,97.2,92.7
20210425,1200,5.14,145.8,145.8,138.2
20210426,1200,6.21,209.2,209.3,198.1
20210427,1200,5.24,158.5,158.5,150.1
20210428,1200,4.80,139.0,139.0,131.6
20210429,1200,4.60,132.1,132.1,125.1
20210430,1200,4.76,144.0,144.0,136.2
20210501,1200,5.71,204.2,204.2,193.0
20210502,1200,6.28,247.7,247.7,234.5
20210503,1200,5.95,231.1,231.1,218.6
20210504,1200,5.45,203.1,203.1,191.9
20210505,1200,5.15,188.6,188.6,178.1
20210506,1200,4.73,166.5,166.5,157.2
20210507,1200,4.25,141.3,141.3,133.5
20210508,1200,4.08,135.0,135.0,127.5
20210509,1200,3.89,127.3,127.3,120.3
20210510,1200,3.68,118.5,118.5,112.0
20210511,1200,3.29,99.6,99.6,94.3
20210512,1200,3.00,86.8,86.8,82.3
20210513,1200,2.79,78.3,78.3,74.4
20210514,1200,2.63,72.3,72.3,68.8
20210515,1200,2.48,66.9,66.9,63.7
20210516,1200,2.27,58.6,58.6,56.0
20210517,1200,2.16,55.1,55.1,52.7
20210518,1200,1.82,41.5,41.5,40.0
20210519,1200,1.91,46.7,46.7,44.8
20210520,1200,2.96,106.0,106.0,100.4
20210521,1200,3.66,158.8,158.8,150.6
20210522,1200,2.53,84.6,84.6,80.4
20210523,1200,2.25,70.5,70.5,67.2
20210524,1200,2.09,63.5,63.5,60.6
20210525,1200,1.95,57.6,57.6,55.1
20210526,1200,2.01,62.7,62.7,59.9
20210527,1200,1.97,62.2,62.2,59.4
20210528,1200,2.05,68.7,68.7,65.6
20210529,1200,1.77,54.2,54.2,52.0
20210530,1200,1.63,48.1,48.1,46.2
20210531,1200,1.49,42.0,42.0,40.5
