Date,Time,Flow,AMLE,MLE,LAD
20210210,1200,22.10,2379.3,2379.5,2299.4
20210211,1200,21.68,2303.3,2303.5,2227.7
20210212,1200,19.70,2035.0,2035.2,1978.0
20210213,1200,17.78,1783.3,1783.5,1742.8
20210214,1200,19.55,1978.3,1978.5,1922.7
20210215,1200,20.48,2071.2,2071.4,2007.3
20210216,1200,20.59,2064.6,2064.8,1999.8
20210217,1200,20.15,1992.9,1993.1,1932.1
20210218,1200,18.88,1826.4,1826.5,1776.5
20210219,1200,19.43,1872.0,1872.2,1817.6
20210220,1200,21.50,2092.0,2092.2,2019.7
20210221,1200,22.59,2197.7,2197.9,2115.8
20210222,1200,48.18,5345.7,5346.2,4963.2
20210223,1200,203.40,28677.0,28679.0,25331.0
20210224,1200,149.70,19856.0,19857.0,17690.0
20210225,1200,97.08,11844.0,11845.0,10700.0
20210226,1200,79.61,9291.3,9292.1,8453.1
20210227,1200,64.36,7164.2,7164.9,6570.3
20210228,1200,52.62,5595.3,5595.9,5172.8
20210301,1200,52.09,5475.2,5475.8,5063.4
20210302,1200,59.65,6361.3,6362.0,5850.4
20210303,1200,100.90,11679.0,11680.0,10538.0
20210304,1200,110.70,12888.0,12889.0,11594.0
20210305,1200,121.50,14240.0,14241.0,12773.0
20210306,1200,135.50,16007.0,16008.0,14313.0
20210307,1200,121.70,13987.0,13989.0,12548.0
20210308,1200,125.60,14367.0,14368.0,12877.0
20210309,1200,126.90,14399.0,14400.0,12902.0
20210310,1200,121.80,13584.0,13586.0,12189.0
20210311,1200,98.49,10493.0,10494.0,9478.0
20210312,1200,85.90,8851.6,8852.5,8031.8
20210313,1200,80.04,8067.7,8068.5,7338.4
20210314,1200,85.42,8621.8,8622.6,7825.2
20210315,1200,95.80,9764.5,9765.4,8829.5
20210316,1200,100.40,10216.0,10217.0,9224.8
20210317,1200,76.51,7355.9,7356.6,6702.0
20210318,1200,68.30,6375.2,6375.9,5831.8
20210319,1200,82.43,7870.6,7871.3,7153.5
20210320,1200,84.13,7981.8,7982.6,7250.0
20210321,1200,73.44,6739.4,6740.1,6149.9
20210322,1200,64.34,5713.6,5714.2,5238.1
20210323,1200,69.46,6189.5,6190.2,5659.4
20210324,1200,58.90,5049.8,5050.4,4644.6
20210325,1200,67.45,5863.0,5863.6,5366.7
