Date,Time,Flow,AMLE,MLE,LAD
20201119,1200,150,3883,3883,3770
20201120,1200,83,1843,1844,1795
20201121,1200,57,1153,1153,1126
20201122,1200,43,816,816,799
20201123,1200,43,817,817,800
20201124,1200,59,1193,1193,1165
20201125,1200,60,1220,1220,1191
20201126,1200,59,1193,1193,1165
20201127,1200,57,1154,1154,1127
20201128,1200,54,1070,1070,1046
20201129,1200,55,1103,1103,1079
20201130,1200,50,979,979,958
20201201,1200,54,1056,1056,1033
20201202,1200,47,900,900,881
20201203,1200,29,485,485,477
20201204,1200,24,387,387,382
20201205,1200,23,369,369,364
20201206,1200,22,344,344,340
20201207,1200,28,456,456,449
20201208,1200,40,728,728,714
20201209,1200,62,1252,1252,1224
20201210,1200,71,1497,1497,1461
20201211,1200,61,1224,1224,1197
20201212,1200,52,1015,1015,994
20201213,1200,45,837,837,821
20201214,1200,46,853,853,836
20201215,1200,48,911,911,893
20201216,1200,48,901,901,883
20201217,1200,49,940,940,921
20201218,1200,51,970,970,950
20201219,1200,51,969,969,949
20201220,1200,53,1021,1021,1000
20201221,1200,116,2723,2723,2654
20201222,1200,185,4871,4871,4740
20201223,1200,121,2865,2865,2792
20201224,1200,93,2060,2060,2010
20201225,1200,101,2281,2281,2225
20201226,1200,114,2651,2651,2585
20201227,1200,94,2075,2075,2026
20201228,1200,62,1245,1245,1219
20201229,1200,58,1123,1123,1100
20201230,1200,68,1371,1371,1341
20201231,1200,89,1921,1921,1877
20210101,1200,92,2009,2009,1963
20210102,1200,85,1828,1828,1787
20210103,1200,83,1765,1765,1725
20210104,1200,83,1771,1771,1731
20210105,1200,84,1796,1796,1756
20210106,1200,84,1775,1775,1736
20210107,1200,82,1731,1731,1693
20210108,1200,81,1705,1705,1668
20210109,1200,81,1701,1701,1664
20210110,1200,67,1344,1344,1317
20210111,1200,65,1291,1291,1265
20210112,1200,80,1679,1679,1644
20210113,1200,94,2043,2043,1998
20210114,1200,105,2343,2343,2291
20210115,1200,106,2368,2368,2316
20210116,1200,108,2422,2422,2368
20210117,1200,104,2308,2308,2257
20210118,1200,93,2013,2013,1970
20210119,1200,79,1628,1628,1595
20210120,1200,79,1626,1626,1593
20210121,1200,89,1891,1891,1852
20210122,1200,91,1934,1934,1894
20210123,1200,75,1534,1534,1504
20210124,1200,53,981,981,964
20210125,1200,47,856,856,842
20210126,1200,57,1077,1077,1059
20210127,1200,67,1312,1312,1288
20210128,1200,77,1563,1563,1534
20210129,1200,83,1713,1713,1680
20210130,1200,83,1714,1714,1681
20210131,1200,80,1632,1632,1601
20210201,1200,74,1471,1471,1444
20210202,1200,68,1328,1328,1305
20210203,1200,71,1396,1396,1371
20210204,1200,74,1476,1476,1450
20210205,1200,75,1495,1495,1468
20210206,1200,72,1431,1431,1405
20210207,1200,71,1392,1392,1368
20210208,1200,70,1383,1383,1359
20210209,1200,69,1350,1350,1327
20210210,1200,65,1239,1239,1219
20210211,1200,63,1195,1195,1176
20210212,1200,70,1360,1360,1337
20210213,1200,75,1481,1481,1456
20210214,1200,75,1490,1490,1465
20210215,1200,78,1555,1555,1529
20210216,1200,79,1578,1578,1552
20210217,1200,79,1577,1577,1550
20210218,1200,79,1575,1575,1549
20210219,1200,78,1556,1556,1530
20210220,1200,77,1534,1534,1509
20210221,1200,93,1936,1936,1903
20210222,1200,108,2325,2325,2284
20210223,1200,195,4852,4853,4760
20210224,1200,239,6245,6245,6125
20210225,1200,179,4352,4352,4271
20210226,1200,142,3257,3257,3198
20210227,1200,128,2858,2858,2808
20210228,1200,126,2799,2799,2751
20210301,1200,131,2935,2935,2885
20210302,1200,155,3616,3616,3553
20210303,1200,179,4322,4322,4246
20210304,1200,189,4620,4620,4538
20210305,1200,210,5262,5262,5169
20210306,1200,238,6142,6142,6035
20210307,1200,255,6685,6686,6569
20210308,1200,260,6841,6841,6723
20210309,1200,236,6057,6058,5954
20210310,1200,216,5419,5419,5328
20210311,1200,204,5041,5041,4957
20210312,1200,191,4639,4639,4563
20210313,1200,191,4633,4634,4558
20210314,1200,205,5054,5055,4973
20210315,1200,217,5419,5419,5332
20210316,1200,223,5600,5600,5511
20210317,1200,231,5845,5845,5752
20210318,1200,244,6250,6250,6152
20210319,1200,259,6724,6724,6620
20210320,1200,283,7499,7499,7384
20210321,1200,244,6228,6228,6134
20210322,1200,220,5469,5469,5387
20210323,1200,191,4581,4581,4514
20210324,1200,168,3900,3900,3844
20210325,1200,152,3438,3438,3391
20210326,1200,129,2799,2799,2762
20210327,1200,141,3124,3124,3082
20210328,1200,180,4230,4230,4172
20210329,1200,239,6014,6014,5932
20210330,1200,226,5603,5603,5528
20210331,1200,201,4837,4837,4773
20210401,1200,236,5900,5900,5822
20210402,1200,325,8774,8774,8662
20210403,1200,422,12123,12123,11977
20210404,1200,606,18972,18973,18771
20210405,1200,748,24600,24601,24369
20210406,1200,643,20371,20372,20168
20210407,1200,669,21372,21373,21167
20210408,1200,683,21902,21903,21699
20210409,1200,560,17103,17103,16932
20210410,1200,553,16818,16819,16653
20210411,1200,470,13729,13729,13588
20210412,1200,427,12173,12174,12047
20210413,1200,456,13192,13193,13061
20210414,1200,470,13681,13681,13549
20210415,1200,510,15123,15123,14984
20210416,1200,571,17377,17378,17229
20210417,1200,630,19607,19608,19453
20210418,1200,728,23427,23428,23264
20210419,1200,797,26178,26178,26014
20210420,1200,667,20970,20971,20823
20210421,1200,662,20751,20752,20609
20210422,1200,666,20882,20883,20744
20210423,1200,672,21091,21091,20957
20210424,1200,717,22827,22828,22695
20210425,1200,881,29426,29427,29297
20210426,1200,879,29309,29309,29186
20210427,1200,838,27593,27593,27475
20210428,1200,855,28254,28255,28143
20210429,1200,914,30651,30651,30550
20210430,1200,1110,38933,38934,38868
20210501,1200,1330,48629,48630,48628
20210502,1200,1320,48120,48121,48127
20210503,1200,1130,39660,39661,39625
20210504,1200,1050,36174,36175,36130
20210505,1200,1040,35706,35706,35667
20210506,1200,1080,37367,37368,37346
20210507,1200,1270,45603,45604,45646
20210508,1200,1130,39424,39425,39433
20210509,1200,971,32642,32642,32619
20210510,1200,894,29434,29435,29404
20210511,1200,841,27257,27257,27224
20210512,1200,816,26226,26226,26195
20210513,1200,859,27914,27914,27896
20210514,1200,926,30596,30597,30600
20210515,1200,967,32243,32243,32263
20210516,1200,1010,33985,33986,34025
20210517,1200,1050,35615,35615,35675
20210518,1200,1060,35991,35992,36063
20210519,1200,966,32047,32048,32096
20210520,1200,935,30742,30743,30790
20210521,1200,845,27090,27091,27120
20210522,1200,743,23073,23074,23085
20210523,1200,730,22547,22548,22562
20210524,1200,723,22253,22254,22271
20210525,1200,680,20601,20601,20615
20210526,1200,976,32185,32186,32290
20210527,1200,892,28758,28759,28840
20210528,1200,862,27533,27533,27611
20210529,1200,785,24492,24492,24553
20210530,1200,725,22168,22169,22218
20210531,1200,688,20750,20751,20795
20210601,1200,651,19354,19354,19394
20210602,1200,624,18342,18342,18380
20210603,1200,589,17055,17055,17090
20210604,1200,539,15260,15261,15289
20210605,1200,475,13030,13031,13051
20210606,1200,431,11536,11536,11552
20210607,1200,393,10275,10275,10289
20210608,1200,360,9204,9204,9216
20210609,1200,336,8438,8438,8450
20210610,1200,598,17231,17232,17297
20210611,1200,511,14163,14163,14209
20210612,1200,397,10342,10342,10369
20210613,1200,335,8366,8366,8386
20210614,1200,298,7225,7225,7242
20210615,1200,272,6442,6442,6458
20210616,1200,254,5909,5910,5925
20210617,1200,247,5701,5701,5717
20210618,1200,226,5098,5098,5113
20210619,1200,209,4620,4620,4635
20210620,1200,193,4179,4179,4193
20210621,1200,182,3880,3880,3894
20210622,1200,169,3534,3534,3548
20210623,1200,178,3765,3765,3781
