Date,Time,Flow,AMLE,MLE,LAD
20210426,1200,119,1628,1628,1672
20210427,1200,108,1447,1447,1484
20210428,1200,112,1517,1517,1556
20210429,1200,134,1893,1893,1944
20210430,1200,176,2637,2637,2714
20210501,1200,225,3551,3551,3663
20210502,1200,221,3485,3485,3593
20210503,1200,193,2962,2962,3049
20210504,1200,181,2749,2749,2827
20210505,1200,182,2783,2783,2862
20210506,1200,201,3135,3135,3226
20210507,1200,244,3981,3981,4103
20210508,1200,217,3462,3462,3563
20210509,1200,182,2801,2801,2878
20210510,1200,161,2414,2414,2476
20210511,1200,146,2162,2162,2215
20210512,1200,144,2125,2125,2177
20210513,1200,163,2480,2480,2543
20210514,1200,191,3008,3008,3087
20210515,1200,209,3360,3361,3452
20210516,1200,232,3808,3808,3915
20210517,1200,261,4418,4418,4546
20210518,1200,273,4674,4674,4811
20210519,1200,245,4112,4112,4226
20210520,1200,226,3739,3740,3839
20210521,1200,194,3114,3114,3192
20210522,1200,167,2596,2596,2656
20210523,1200,187,2981,2981,3053
20210524,1200,173,2719,2720,2782
20210525,1200,167,2615,2616,2674
20210526,1200,340,6182,6182,6365
20210527,1200,283,4964,4964,5100
20210528,1200,274,4791,4791,4919
20210529,1200,242,4139,4139,4243
20210530,1200,220,3696,3696,3784
20210531,1200,204,3374,3374,3451
20210601,1200,192,3156,3156,3226
20210602,1200,184,3003,3003,3067
20210603,1200,173,2798,2798,2856
20210604,1200,159,2518,2518,2567
20210605,1200,135,2072,2072,2108
20210606,1200,115,1720,1720,1748
20210607,1200,100,1443,1443,1464
20210608,1200,86,1210,1211,1227
20210609,1200,76,1051,1051,1064
20210610,1200,148,2344,2344,2385
20210611,1200,118,1786,1786,1813
20210612,1200,92,1319,1319,1336
20210613,1200,73,1012,1012,1023
20210614,1200,62,829,829,837
20210615,1200,54,707,707,714
20210616,1200,48,612,612,617
20210617,1200,43,537,537,541
20210618,1200,39,470,470,473
20210619,1200,35,418,418,421
20210620,1200,32,377,377,379
20210621,1200,30,344,344,346
20210622,1200,27,303,303,304
20210623,1200,28,321,321,322
20210624,1200,24,262,262,263
20210625,1200,21,225,225,226
20210626,1200,19,204,204,204
20210627,1200,17,177,177,177
20210628,1200,15,156,156,156
20210629,1200,13,133,133,133
20210630,1200,12,117,117,117
20210701,1200,12,117,117,117
20210702,1200,11,107,107,107
20210703,1200,9,85,85,85
20210704,1200,8,72,72,72
