Date,Time,Flow,AMLE,MLE,LAD
20210429,1200,101,1473,1473,1864
20210430,1200,114,1745,1745,2241
20210501,1200,135,2192,2193,2875
20210502,1200,135,2211,2211,2899
20210503,1200,125,2001,2001,2594
20210504,1200,122,1933,1933,2495
20210505,1200,120,1914,1914,2465
20210506,1200,131,2163,2163,2815
20210507,1200,147,2514,2514,3316
20210508,1200,136,2277,2277,2970
20210509,1200,121,1959,1959,2515
20210510,1200,108,1685,1686,2130
20210511,1200,101,1547,1548,1937
20210512,1200,100,1522,1522,1900
20210513,1200,104,1615,1615,2025
20210514,1200,110,1754,1755,2214
20210515,1200,119,1959,1959,2496
20210516,1200,129,2182,2182,2805
20210517,1200,138,2393,2393,3101
20210518,1200,137,2392,2392,3095
20210519,1200,133,2304,2305,2968
20210520,1200,124,2091,2092,2664
20210521,1200,108,1759,1759,2201
20210522,1200,98,1551,1552,1916
20210523,1200,96,1514,1515,1864
20210524,1200,90,1394,1394,1699
20210525,1200,88,1340,1341,1627
20210526,1200,128,2246,2246,2860
20210527,1200,110,1835,1835,2288
20210528,1200,109,1812,1812,2254
20210529,1200,106,1751,1751,2168
20210530,1200,104,1715,1715,2117
20210531,1200,101,1648,1648,2023
20210601,1200,97,1574,1574,1922
20210602,1200,94,1519,1519,1846
20210603,1200,92,1485,1485,1799
20210604,1200,88,1406,1406,1692
20210605,1200,82,1275,1275,1519
20210606,1200,75,1130,1130,1330
20210607,1200,69,1017,1017,1184
20210608,1200,65,935,935,1079
20210609,1200,62,884,884,1014
20210610,1200,78,1219,1219,1437
20210611,1200,69,1021,1021,1183
20210612,1200,62,887,888,1014
20210613,1200,55,771,772,870
20210614,1200,51,683,683,761
20210615,1200,47,622,622,686
20210616,1200,44,574,574,628
20210617,1200,42,543,543,590
20210618,1200,41,513,513,555
20210619,1200,39,481,481,517
20210620,1200,37,460,461,492
20210621,1200,36,437,437,465
20210622,1200,34,414,414,437
20210623,1200,35,425,425,450
20210624,1200,36,447,447,474
20210625,1200,36,453,453,481
20210626,1200,35,424,424,447
20210627,1200,33,401,401,420
20210628,1200,31,374,374,390
20210629,1200,30,355,355,367
20210630,1200,29,332,332,341
20210701,1200,30,352,352,363
20210702,1200,28,332,333,341
20210703,1200,26,296,296,300
20210704,1200,25,274,274,276
20210705,1200,23,258,258,258
20210706,1200,22,244,244,243
20210707,1200,22,234,234,232
20210708,1200,21,225,225,222
20210709,1200,20,212,212,209
20210710,1200,20,205,205,200
20210711,1200,19,194,194,189
20210712,1200,18,183,183,177
20210713,1200,18,178,178,172
20210714,1200,17,172,172,165
20210715,1200,17,168,168,161
20210716,1200,16,163,163,156
20210717,1200,16,160,160,152
20210718,1200,16,155,155,147
20210719,1200,15,145,145,136
20210720,1200,16,155,155,146
20210721,1200,15,154,154,145
20210722,1200,14,131,131,123
20210723,1200,13,127,127,118
20210724,1200,13,122,122,113
20210725,1200,13,117,117,108
20210726,1200,12,111,111,102
20210727,1200,12,111,111,102
20210728,1200,12,108,108,99
20210729,1200,12,108,108,99
20210730,1200,11,104,104,94
20210731,1200,11,97,97,87
20210801,1200,15,155,155,145
20210802,1200,27,340,340,338
20210803,1200,15,148,148,138
20210804,1200,13,121,121,111
20210805,1200,12,108,108,98
20210806,1200,12,119,119,109
20210807,1200,12,110,110,100
20210808,1200,12,111,111,100
20210809,1200,13,129,129,118
20210810,1200,12,112,112,101
20210811,1200,11,103,103,92
20210812,1200,10,94,94,84
20210813,1200,10,88,88,78
20210814,1200,9,82,82,72
20210815,1200,9,81,81,71
20210816,1200,9,77,77,67
20210817,1200,9,79,79,69
20210818,1200,11,111,111,99
20210819,1200,11,104,104,93
20210820,1200,10,93,93,82
20210821,1200,17,201,201,187
20210822,1200,13,132,132,119
20210823,1200,10,98,98,86
20210824,1200,10,92,92,80
20210825,1200,9,83,83,72
20210826,1200,8,76,76,65
20210827,1200,9,77,77,67
20210828,1200,8,76,76,66
20210829,1200,8,71,71,61
20210830,1200,8,68,68,58
20210831,1200,7,65,65,55
20210901,1200,7,65,65,55
20210902,1200,7,65,65,55
20210903,1200,7,65,65,55
20210904,1200,7,64,64,54
20210905,1200,7,60,60,50
20210906,1200,7,57,57,48
20210907,1200,7,59,59,49
20210908,1200,7,58,58,48
20210909,1200,7,56,56,46
20210910,1200,6,52,52,43
20210911,1200,6,55,55,46
20210912,1200,6,55,55,46
20210913,1200,6,55,55,46
20210914,1200,7,57,57,47
20210915,1200,6,56,56,46
20210916,1200,6,55,55,45
20210917,1200,7,57,57,47
20210918,1200,6,54,54,44
20210919,1200,12,128,128,112
20210920,1200,13,144,144,127
20210921,1200,9,91,91,77
20210922,1200,8,76,76,64
20210923,1200,7,70,70,58
20210924,1200,7,69,69,57
20210925,1200,7,66,66,55
20210926,1200,7,64,64,53
20210927,1200,7,63,63,52
20210928,1200,8,80,80,67
20210929,1200,9,96,96,82
20210930,1200,8,80,80,67
20211001,1200,8,76,76,63
20211002,1200,8,73,73,61
20211003,1200,7,72,72,60
20211004,1200,7,67,67,55
20211005,1200,7,62,62,51
20211006,1200,6,58,58,48
20211007,1200,7,64,64,52
20211008,1200,7,73,73,61
20211009,1200,9,95,95,80
20211010,1200,8,82,82,68
20211011,1200,10,108,108,91
20211012,1200,9,91,91,76
20211013,1200,8,89,89,74
20211014,1200,9,92,92,77
20211015,1200,9,95,95,80
20211016,1200,10,109,109,92
20211017,1200,10,113,113,95
20211018,1200,9,101,101,84
20211019,1200,8,89,89,74
20211020,1200,8,84,84,69
20211021,1200,8,82,82,68
20211022,1200,8,90,90,74
20211023,1200,18,262,262,234
20211024,1200,12,149,149,127
20211025,1200,12,156,156,134
20211026,1200,13,173,173,149
20211027,1200,12,154,154,132
20211028,1200,11,132,132,112
20211029,1200,11,129,129,109
20211030,1200,14,186,186,161
20211031,1200,11,130,130,109
20211101,1200,10,115,115,96
20211102,1200,11,134,134,113
20211103,1200,11,135,135,113
20211104,1200,10,120,120,100
20211105,1200,15,211,211,183
20211106,1200,12,155,155,132
20211107,1200,11,143,143,121
20211108,1200,10,116,116,97
20211109,1200,14,198,198,171
20211110,1200,11,145,145,122
20211111,1200,14,194,194,166
20211112,1200,16,232,232,201
20211113,1200,19,302,302,268
20211114,1200,17,260,260,228
20211115,1200,15,218,218,188
20211116,1200,14,193,193,165
20211117,1200,14,194,194,165
20211118,1200,27,489,489,448
20211119,1200,14,195,195,166
20211120,1200,12,157,157,132
20211121,1200,13,177,177,149
20211122,1200,15,229,229,197
20211123,1200,29,546,546,502
20211124,1200,40,876,876,838
20211125,1200,37,769,769,726
20211126,1200,20,329,329,290
20211127,1200,10,138,138,114
20211128,1200,12,161,161,134
20211129,1200,14,210,210,178
20211130,1200,14,216,216,184
20211201,1200,14,215,215,183
20211202,1200,14,216,216,183
20211203,1200,13,198,198,167
20211204,1200,12,168,168,140
20211205,1200,12,177,177,147
20211206,1200,20,340,340,298
20211207,1200,22,402,402,356
