Date,Time,Flow,AMLE,MLE,LAD
20201210,1200,286,3052,3052,3342
20201211,1200,241,2355,2355,2631
20201212,1200,228,2186,2186,2459
20201213,1200,201,1810,1810,2070
20201214,1200,214,2031,2031,2304
20201215,1200,219,2139,2139,2419
20201216,1200,215,2106,2106,2387
20201217,1200,221,2232,2233,2521
20201218,1200,232,2449,2449,2748
20201219,1200,225,2362,2362,2662
20201220,1200,238,2622,2623,2933
20201221,1200,528,9516,9516,9679
20201222,1200,649,13371,13371,13318
20201223,1200,453,7675,7675,7923
20201224,1200,325,4573,4573,4909
20201225,1200,292,3899,3899,4244
20201226,1200,353,5361,5361,5694
20201227,1200,329,4849,4849,5196
20201228,1200,237,2886,2886,3237
20201229,1200,174,1762,1762,2074
20201230,1200,206,2351,2351,2696
20201231,1200,283,3991,3991,4368
20210101,1200,271,3764,3764,4147
20210102,1200,259,3536,3536,3924
20210103,1200,258,3554,3554,3948
20210104,1200,260,3638,3639,4040
20210105,1200,262,3724,3724,4133
20210106,1200,260,3717,3717,4133
20210107,1200,261,3779,3780,4203
20210108,1200,260,3794,3794,4225
20210109,1200,252,3641,3641,4078
20210110,1200,243,3463,3463,3905
20210111,1200,214,2836,2836,3269
20210112,1200,224,3085,3086,3534
20210113,1200,277,4415,4415,4890
20210114,1200,359,6809,6810,7251
20210115,1200,322,5752,5753,6233
20210116,1200,313,5539,5539,6034
20210117,1200,303,5296,5296,5804
20210118,1200,301,5282,5282,5801
20210119,1200,292,5064,5065,5596
20210120,1200,256,4107,4108,4646
20210121,1200,273,4601,4601,5154
20210122,1200,271,4578,4578,5142
20210123,1200,265,4442,4442,5015
20210124,1200,230,3535,3535,4099
20210125,1200,191,2608,2609,3137
20210126,1200,227,3501,3501,4082
20210127,1200,212,3141,3141,3717
20210128,1200,234,3724,3724,4334
20210129,1200,244,4015,4015,4644
20210130,1200,240,3926,3926,4562
20210131,1200,227,3594,3594,4229
20210201,1200,218,3374,3374,4009
20210202,1200,243,4064,4065,4738
20210203,1200,287,5389,5389,6100
20210204,1200,284,5318,5318,6041
20210205,1200,287,5433,5434,6170
20210206,1200,293,5645,5646,6397
20210207,1200,291,5601,5601,6366
20210208,1200,288,5523,5523,6301
20210209,1200,268,4911,4911,5691
20210210,1200,254,4500,4500,5280
20210211,1200,242,4159,4159,4937
20210212,1200,249,4373,4373,5172
20210213,1200,235,3975,3975,4766
20210214,1200,236,4010,4010,4814
20210215,1200,247,4337,4337,5169
20210216,1200,265,4890,4890,5756
20210217,1200,250,4438,4438,5297
20210218,1200,236,4029,4029,4878
20210219,1200,240,4148,4148,5015
20210220,1200,253,4538,4538,5436
20210221,1200,259,4723,4723,5642
20210222,1200,379,8968,8969,9938
20210223,1200,960,41789,41793,39453
20210224,1200,688,24200,24202,24127
20210225,1200,505,14498,14499,15284
20210226,1200,485,13554,13555,14415
20210227,1200,435,11298,11298,12283
20210228,1200,384,9160,9160,10221
20210301,1200,381,9032,9033,10110
20210302,1200,424,10799,10800,11852
20210303,1200,531,15722,15723,16548
20210304,1200,574,17884,17885,18574
20210305,1200,612,19875,19876,20423
20210306,1200,689,24171,24173,24337
20210307,1200,680,23615,23616,23858
20210308,1200,718,25805,25807,25843
20210309,1200,760,28307,28310,28092
20210310,1200,675,23199,23201,23542
20210311,1200,579,17920,17921,18734
20210312,1200,527,15268,15269,16274
20210313,1200,509,14364,14364,15433
20210314,1200,524,15037,15038,16084
20210315,1200,572,17366,17367,18279
20210316,1200,603,18912,18913,19724
20210317,1200,581,17711,17712,18625
20210318,1200,607,18993,18994,19825
20210319,1200,803,30196,30199,29930
20210320,1200,910,37038,37042,35923
20210321,1200,856,33338,33341,32714
20210322,1200,810,30294,30297,30050
20210323,1200,807,29986,29989,29787
20210324,1200,728,25144,25146,25483
20210325,1200,730,25149,25151,25494
20210326,1200,736,25380,25382,25708
20210327,1200,682,22237,22238,22874
20210328,1200,724,24459,24460,24889
20210329,1200,943,37822,37825,36661
20210330,1200,925,36448,36451,35473
20210331,1200,806,28824,28827,28796
20210401,1200,775,26853,26855,27044
20210402,1200,929,36141,36144,35204
20210403,1200,1200,54965,54971,51183
20210404,1200,1510,79846,79857,71575
20210405,1200,1890,114720,114740,99290
20210406,1200,1730,98711,98724,86631
20210407,1200,1590,85459,85470,76033
20210408,1200,1710,95735,95747,84213
20210409,1200,1510,77580,77590,69641
20210410,1200,1470,73773,73783,66536
20210411,1200,1320,61389,61397,56392
20210412,1200,1190,51385,51391,48070
