Date,Time,Flow,AMLE,MLE,LAD
20210222,1200,19.30,7228.2,7228.2,6143.0
20210223,1200,51.70,2655.8,2662.9,4874.6
20210224,1200,38.50,3886.6,3886.6,5057.9
20210225,1200,25.50,5200.4,5202.5,4930.8
20210226,1200,21.20,5200.6,5202.4,4468.7
20210227,1200,17.50,4973.8,4974.5,3942.2
20210228,1200,14.60,4556.0,4556.0,3402.0
20210301,1200,14.50,4235.1,4235.2,3139.5
20210302,1200,16.30,3990.5,3991.4,3053.4
20210303,1200,26.50,3147.8,3149.7,3088.8
20210304,1200,28.90,2716.3,2717.4,2861.3
20210305,1200,31.50,2310.2,2310.6,2639.5
20210306,1200,35.00,1887.9,1887.9,2414.4
20210307,1200,31.60,1967.2,1967.4,2298.9
20210308,1200,32.60,1757.3,1757.4,2140.2
20210309,1200,32.90,1609.1,1609.1,2002.1
20210310,1200,31.60,1562.6,1562.6,1891.0
20210311,1200,25.90,1755.7,1756.5,1802.1
20210312,1200,22.80,1785.6,1787.0,1684.0
20210313,1200,21.30,1729.9,1731.3,1573.1
20210314,1200,22.70,1561.3,1562.4,1497.3
20210315,1200,25.20,1356.5,1357.0,1425.3
20210316,1200,26.40,1219.1,1219.4,1349.7
20210317,1200,18.30,1417.2,1418.5,1218.4
20210318,1200,13.20,1370.7,1371.6,1014.7
20210319,1200,21.70,1159.2,1159.9,1139.1
20210320,1200,25.80,957.4,957.4,1098.6
20210321,1200,23.60,968.1,968.3,1043.0
20210322,1200,18.10,1054.0,1054.8,948.9
20210323,1200,21.50,915.7,916.1,941.4
20210324,1200,17.40,953.8,954.5,857.8
20210325,1200,18.90,875.4,875.9,841.3
20210326,1200,21.30,776.8,777.0,827.1
20210327,1200,15.40,836.5,837.1,725.1
20210328,1200,13.20,802.4,803.0,649.1
20210329,1200,13.40,764.9,765.5,630.1
20210330,1200,11.50,717.2,717.7,556.6
20210331,1200,10.00,658.2,658.5,488.3
20210401,1200,9.20,608.6,608.8,442.6
20210402,1200,8.60,564.2,564.3,405.1
20210403,1200,8.60,541.9,542.1,392.6
20210404,1200,8.80,527.3,527.5,388.5
20210405,1200,16.70,536.7,536.9,551.6
20210406,1200,15.50,526.3,526.6,521.7
20210407,1200,12.40,517.0,517.3,455.5
20210408,1200,10.30,482.6,482.9,393.8
20210409,1200,9.40,451.6,451.9,358.8
20210410,1200,8.80,424.3,424.5,332.2
20210411,1200,8.40,401.4,401.5,312.2
20210412,1200,7.90,376.0,376.2,289.2
20210413,1200,7.00,337.4,337.5,252.1
20210414,1200,6.20,298.3,298.4,217.4
20210415,1200,5.90,278.1,278.1,201.9
20210416,1200,5.60,258.2,258.2,186.8
20210417,1200,5.60,251.8,251.8,183.8
20210418,1200,5.80,253.7,253.8,188.7
20210419,1200,6.30,265.7,265.7,204.3
20210420,1200,6.80,274.7,274.9,218.8
20210421,1200,6.60,262.8,262.9,209.4
20210422,1200,6.50,254.1,254.2,203.7
20210423,1200,6.90,259.4,259.5,214.7
20210424,1200,6.80,251.5,251.7,209.5
20210425,1200,8.40,276.8,277.0,254.2
20210426,1200,11.50,290.7,290.8,319.7
20210427,1200,8.90,271.6,271.8,263.2
20210428,1200,7.70,250.4,250.6,230.0
20210429,1200,7.40,240.7,240.9,220.2
20210430,1200,8.50,252.3,252.5,249.1
20210501,1200,10.80,261.5,261.6,298.6
20210502,1200,12.00,256.5,256.6,318.5
20210503,1200,10.70,252.0,252.1,295.1
20210504,1200,9.30,242.3,242.5,265.5
20210505,1200,9.00,236.5,236.7,258.3
20210506,1200,8.50,228.8,229.0,246.0
20210507,1200,8.80,228.1,228.2,253.5
20210508,1200,9.10,226.9,227.1,260.9
20210509,1200,8.10,215.8,216.0,236.4
20210510,1200,7.30,203.5,203.7,214.8
20210511,1200,6.70,191.9,192.1,197.4
20210512,1200,6.30,182.7,182.8,185.4
20210513,1200,6.20,179.0,179.1,182.8
20210514,1200,6.30,179.2,179.3,186.9
20210515,1200,6.50,181.1,181.2,194.3
20210516,1200,6.50,179.5,179.6,195.4
20210517,1200,6.50,177.9,178.1,196.5
20210518,1200,6.30,173.1,173.3,191.2
20210519,1200,6.40,173.5,173.6,195.8
20210520,1200,9.90,199.9,199.9,294.3
20210521,1200,13.60,188.5,188.6,361.8
20210522,1200,7.60,184.7,184.8,238.7
20210523,1200,6.70,173.0,173.1,212.2
20210524,1200,5.90,159.2,159.3,186.1
20210525,1200,5.60,152.6,152.7,176.7
20210526,1200,6.00,159.1,159.2,193.2
20210527,1200,5.90,156.5,156.6,191.4
20210528,1200,6.90,170.0,170.1,229.2
20210529,1200,6.20,159.8,159.8,206.6
20210530,1200,5.50,147.0,147.1,181.7
20210531,1200,5.00,136.1,136.2,163.2
20210601,1200,4.70,128.7,128.7,152.3
20210602,1200,4.50,123.3,123.4,145.2
20210603,1200,4.30,117.8,117.9,138.0
20210604,1200,4.00,109.3,109.4,126.0
20210605,1200,3.60,97.3,97.4,108.9
20210606,1200,3.40,90.9,91.0,100.9
20210607,1200,3.50,94.0,94.0,106.8
20210608,1200,3.40,90.7,90.8,103.3
20210609,1200,3.30,87.4,87.5,99.7
20210610,1200,10.90,167.7,167.9,392.1
20210611,1200,7.80,164.6,164.6,303.3
20210612,1200,5.20,134.7,134.7,197.4
20210613,1200,4.60,122.1,122.2,170.6
20210614,1200,3.80,101.9,101.9,131.8
20210615,1200,3.40,90.1,90.2,112.5
20210616,1200,3.50,93.0,93.1,119.2
20210617,1200,3.20,83.8,83.8,104.7
20210618,1200,2.90,74.1,74.1,90.0
20210619,1200,2.70,67.4,67.4,80.5
20210620,1200,2.50,60.5,60.5,71.1
20210621,1200,2.40,57.0,57.0,66.8
20210622,1200,2.30,53.5,53.6,62.4
20210623,1200,2.20,50.0,50.1,58.1
20210624,1200,2.10,46.5,46.6,53.7
20210625,1200,2.10,46.6,46.6,54.3
20210626,1200,2.20,50.2,50.2,60.1
20210627,1200,2.10,46.7,46.7,55.5
20210628,1200,1.90,39.6,39.7,46.0
20210629,1200,1.80,36.2,36.2,41.7
20210630,1200,1.60,29.3,29.3,32.8
20210701,1200,1.60,29.4,29.4,33.2
20210702,1200,1.40,22.7,22.7,25.0
20210703,1200,1.30,19.6,19.6,21.3
20210704,1200,1.40,22.8,22.8,25.5
20210705,1200,1.40,22.9,22.9,25.7
20210706,1200,1.30,19.7,19.7,21.9
20210707,1200,1.20,16.7,16.7,18.3
20210708,1200,1.20,16.7,16.7,18.5
20210709,1200,1.10,13.8,13.8,15.1
20210710,1200,1.10,13.9,13.9,15.2
20210711,1200,1.00,11.1,11.2,12.1
20210712,1200,1.00,11.2,11.2,12.2
20210713,1200,1.00,11.2,11.2,12.3
20210714,1200,1.00,11.2,11.2,12.4
20210715,1200,1.00,11.2,11.3,12.4
20210716,1200,0.90,8.7,8.7,9.6
20210717,1200,0.90,8.8,8.8,9.6
20210718,1200,0.90,8.8,8.8,9.7
20210719,1200,0.90,8.8,8.8,9.7
20210720,1200,0.90,8.8,8.8,9.7
20210721,1200,0.90,8.8,8.8,9.8
20210722,1200,0.90,8.8,8.8,9.8
20210723,1200,0.90,8.8,8.8,9.9
20210724,1200,0.90,8.8,8.8,9.9
20210725,1200,0.80,6.6,6.6,7.3
20210726,1200,0.80,6.6,6.6,7.3
20210727,1200,0.70,4.6,4.6,5.0
20210728,1200,0.70,4.6,4.6,5.1
20210729,1200,0.70,4.6,4.6,5.1
20210730,1200,0.70,4.6,4.6,5.1
20210731,1200,0.70,4.6,4.6,5.1
20210801,1200,0.70,4.6,4.6,5.1
20210802,1200,0.70,4.6,4.6,5.1
20210803,1200,0.70,4.6,4.6,5.0
20210804,1200,0.90,8.7,8.7,9.9
20210805,1200,1.00,11.0,11.0,13.0
20210806,1200,0.80,6.4,6.5,7.2
20210807,1200,0.70,4.5,4.5,5.0
20210808,1200,0.80,6.4,6.4,7.2
20210809,1200,0.70,4.5,4.5,5.0
20210810,1200,0.70,4.5,4.5,4.9
20210811,1200,0.80,6.3,6.3,7.1
20210812,1200,0.80,6.3,6.3,7.0
20210813,1200,0.70,4.4,4.4,4.8
20210814,1200,0.70,4.4,4.4,4.8
20210815,1200,0.70,4.4,4.4,4.8
20210816,1200,0.60,2.8,2.8,3.1
20210817,1200,0.60,2.8,2.8,3.0
20210818,1200,0.60,2.8,2.8,3.0
20210819,1200,0.60,2.8,2.8,3.0
20210820,1200,0.70,4.2,4.2,4.6
20210821,1200,0.80,5.9,5.9,6.6
20210822,1200,0.90,7.8,7.8,8.9
20210823,1200,0.90,7.8,7.8,8.8
20210824,1200,1.00,9.8,9.8,11.4
20210825,1200,1.10,11.9,11.9,14.2
20210826,1200,1.00,9.6,9.6,11.1
20210827,1200,1.00,9.5,9.5,11.0
20210828,1200,0.90,7.4,7.4,8.3
20210829,1200,0.80,5.5,5.5,6.0
20210830,1200,0.80,5.5,5.5,5.9
20210831,1200,0.80,5.4,5.4,5.8
20210901,1200,0.70,3.8,3.8,4.0
20210902,1200,0.70,3.8,3.8,3.9
20210903,1200,0.70,3.7,3.7,3.9
20210904,1200,0.70,3.7,3.7,3.8
20210905,1200,0.70,3.6,3.6,3.7
20210906,1200,0.70,3.6,3.6,3.7
20210907,1200,0.70,3.5,3.5,3.6
20210908,1200,0.60,2.3,2.3,2.3
20210909,1200,0.60,2.2,2.2,2.3
20210910,1200,0.70,3.4,3.4,3.4
20210911,1200,0.70,3.4,3.4,3.4
20210912,1200,0.70,3.3,3.3,3.3
20210913,1200,0.80,4.6,4.6,4.7
20210914,1200,0.90,6.1,6.1,6.3
20210915,1200,0.90,6.0,6.0,6.2
20210916,1200,0.90,5.9,5.9,6.1
20210917,1200,0.90,5.9,5.9,6.0
20210918,1200,0.90,5.8,5.8,5.8
20210919,1200,0.90,5.7,5.7,5.7
20210920,1200,0.90,5.6,5.6,5.6
20210921,1200,1.00,7.0,7.0,7.2
20210922,1200,1.20,10.2,10.2,11.0
20210923,1200,1.30,11.8,11.8,13.0
20210924,1200,1.30,11.7,11.7,12.8
20210925,1200,1.10,8.2,8.2,8.4
20210926,1200,1.00,6.5,6.5,6.5
20210927,1200,1.00,6.4,6.5,6.4
20210928,1200,1.00,6.4,6.4,6.2
20210929,1200,1.00,6.3,6.3,6.1
20210930,1200,1.00,6.2,6.2,6.0
20211001,1200,1.20,9.0,9.0,9.1
20211002,1200,1.40,12.0,12.0,12.8
20211003,1200,1.40,11.9,11.9,12.5
20211004,1200,1.30,10.1,10.1,10.3
20211005,1200,1.20,8.5,8.5,8.4
20211006,1200,1.20,8.4,8.4,8.2
20211007,1200,1.10,6.8,6.9,6.5
20211008,1200,1.20,8.1,8.1,7.8
20211009,1200,1.20,8.0,8.0,7.7
20211010,1200,1.30,9.3,9.3,9.0
20211011,1200,1.60,13.6,13.6,14.1
20211012,1200,1.90,17.9,17.9,19.7
20211013,1200,1.80,16.2,16.2,17.3
20211014,1200,1.70,14.5,14.5,15.0
20211015,1200,1.70,14.3,14.3,14.7
20211016,1200,1.70,14.1,14.1,14.4
20211017,1200,1.60,12.5,12.6,12.4
20211018,1200,1.60,12.4,12.4,12.1
20211019,1200,1.60,12.2,12.2,11.9
20211020,1200,1.50,10.7,10.7,10.1
20211021,1200,1.50,10.6,10.6,9.9
20211022,1200,1.60,11.8,11.8,11.2
20211023,1200,1.60,11.7,11.7,11.0
20211024,1200,1.60,11.5,11.5,10.8
20211025,1200,2.30,20.7,20.7,22.0
20211026,1200,5.00,46.1,46.2,73.3
20211027,1200,4.00,38.8,38.8,53.1
20211028,1200,3.40,33.0,33.0,40.8
20211029,1200,3.30,31.7,31.7,38.2
20211030,1200,2.90,27.1,27.1,30.3
20211031,1200,3.20,30.2,30.2,35.1
20211101,1200,3.30,31.1,31.1,36.3
20211102,1200,3.00,27.7,27.7,30.6
20211103,1200,2.60,22.8,22.8,23.5
20211104,1200,2.50,21.5,21.5,21.6
20211105,1200,2.60,22.5,22.5,22.8
20211106,1200,2.90,25.9,25.9,27.2
20211107,1200,6.70,51.6,51.7,84.7
20211108,1200,4.80,42.8,42.8,56.4
20211109,1200,4.00,36.6,36.6,43.3
20211110,1200,4.30,39.0,39.0,47.5
20211111,1200,4.50,40.5,40.5,50.0
20211112,1200,6.70,51.7,51.7,79.8
20211113,1200,6.30,50.4,50.4,73.9
20211114,1200,4.50,40.3,40.3,48.4
20211115,1200,3.70,33.3,33.3,36.3
20211116,1200,3.40,30.2,30.2,31.6
20211117,1200,3.20,28.0,28.0,28.4
20211118,1200,2.90,24.6,24.6,24.0
20211119,1200,2.80,23.3,23.3,22.5
20211120,1200,4.90,43.1,43.1,51.9
20211121,1200,5.40,46.4,46.4,58.4
20211122,1200,4.30,38.5,38.5,43.2
20211123,1200,3.80,33.9,33.9,36.1
20211124,1200,3.40,29.8,29.8,30.4
20211125,1200,3.50,30.8,30.8,31.7
20211126,1200,3.30,28.6,28.7,28.9
20211127,1200,3.10,26.4,26.4,26.1
20211128,1200,3.10,26.3,26.3,26.2
20211129,1200,3.20,27.4,27.4,27.6
20211130,1200,6.60,53.6,53.6,73.1
20211201,1200,5.40,47.4,47.4,58.4
20211202,1200,4.40,39.7,39.7,45.0
20211203,1200,3.90,35.0,35.0,38.1
20211204,1200,3.60,31.8,31.8,34.1
20211205,1200,4.00,36.0,36.0,40.2
20211206,1200,4.80,43.4,43.4,52.1
