Date,Time,Flow,AMLE,MLE,LAD
20201210,1200,257,2805,2805,2941
20201211,1200,222,2194,2194,2319
20201212,1200,200,1842,1842,1958
20201213,1200,178,1514,1514,1621
20201214,1200,173,1443,1443,1548
20201215,1200,186,1630,1630,1741
20201216,1200,184,1601,1601,1711
20201217,1200,184,1601,1601,1711
20201218,1200,199,1826,1826,1942
20201219,1200,194,1750,1750,1864
20201220,1200,195,1765,1765,1879
20201221,1200,278,3199,3200,3340
20201222,1200,646,13058,13059,13112
20201223,1200,487,8161,8162,8293
20201224,1200,323,4112,4113,4261
20201225,1200,254,2750,2750,2885
20201226,1200,299,3614,3614,3759
20201227,1200,318,4006,4007,4154
20201228,1200,253,2732,2732,2867
20201229,1200,150,1135,1135,1228
20201230,1200,151,1148,1148,1241
20201231,1200,245,2589,2589,2721
20210101,1200,247,2624,2625,2758
20210102,1200,227,2278,2278,2405
20210103,1200,224,2228,2228,2353
20210104,1200,227,2278,2278,2405
20210105,1200,227,2278,2278,2405
20210106,1200,229,2312,2312,2439
20210107,1200,226,2261,2261,2388
20210108,1200,229,2312,2312,2439
20210109,1200,220,2161,2161,2286
20210110,1200,216,2096,2096,2219
20210111,1200,191,1705,1705,1817
20210112,1200,183,1586,1586,1696
20210113,1200,217,2112,2112,2235
20210114,1200,318,4006,4007,4154
20210115,1200,290,3434,3434,3577
20210116,1200,288,3394,3395,3538
20210117,1200,271,3065,3066,3205
20210118,1200,268,3009,3009,3148
20210119,1200,266,2971,2972,3110
20210120,1200,230,2329,2329,2456
20210121,1200,234,2397,2397,2526
20210122,1200,240,2501,2501,2632
20210123,1200,235,2414,2414,2544
20210124,1200,218,2128,2128,2252
20210125,1200,151,1148,1148,1241
20210126,1200,193,1735,1735,1848
20210127,1200,182,1572,1572,1681
20210128,1200,192,1720,1720,1833
20210129,1200,212,2031,2031,2152
20210130,1200,207,1951,1951,2071
20210131,1200,199,1826,1826,1942
20210201,1200,186,1630,1630,1741
20210202,1200,192,1720,1720,1833
20210203,1200,250,2678,2678,2812
20210204,1200,253,2732,2732,2867
20210205,1200,246,2607,2607,2740
20210206,1200,263,2915,2916,3053
20210207,1200,257,2805,2805,2941
20210208,1200,259,2841,2842,2978
20210209,1200,241,2518,2519,2650
20210210,1200,230,2329,2329,2456
20210211,1200,204,1904,1904,2022
20210212,1200,219,2145,2145,2269
20210213,1200,202,1873,1873,1990
20210214,1200,207,1951,1951,2071
20210215,1200,205,1920,1920,2038
20210216,1200,233,2380,2380,2509
20210217,1200,220,2161,2161,2286
20210218,1200,208,1967,1967,2087
20210219,1200,205,1920,1920,2038
20210220,1200,216,2096,2096,2219
20210221,1200,223,2211,2211,2336
20210222,1200,254,2750,2750,2885
20210223,1200,782,17932,17934,17875
20210224,1200,759,17066,17067,17030
20210225,1200,525,9248,9249,9367
20210226,1200,455,7287,7288,7427
20210227,1200,418,6326,6326,6473
20210228,1200,366,5068,5068,5218
20210301,1200,347,4636,4636,4786
20210302,1200,364,5021,5022,5172
20210303,1200,458,7367,7368,7507
20210304,1200,533,9484,9485,9600
20210305,1200,564,10420,10421,10521
20210306,1200,620,12196,12198,12267
20210307,1200,655,13362,13363,13410
20210308,1200,681,14254,14256,14284
20210309,1200,692,14639,14640,14660
20210310,1200,696,14779,14781,14798
20210311,1200,575,10760,10761,10856
20210312,1200,508,8755,8756,8880
20210313,1200,477,7883,7884,8018
20210314,1200,484,8077,8078,8210
20210315,1200,520,9102,9103,9223
20210316,1200,564,10420,10421,10521
20210317,1200,553,10084,10085,10191
20210318,1200,558,10236,10237,10340
20210319,1200,668,13805,13807,13844
20210320,1200,879,21768,21770,21608
20210321,1200,851,20631,20633,20503
20210322,1200,763,17215,17217,17176
20210323,1200,796,18468,18470,18397
20210324,1200,711,15312,15314,15318
20210325,1200,689,14533,14535,14557
20210326,1200,710,15276,15278,15283
20210327,1200,662,13600,13601,13643
20210328,1200,662,13600,13601,13643
20210329,1200,823,19518,19520,19420
20210330,1200,929,23857,23860,23636
20210331,1200,815,19204,19206,19115
20210401,1200,734,16143,16145,16130
20210402,1200,817,19283,19285,19191
20210403,1200,1071,30189,30192,29769
20210404,1200,1372,45452,45456,44485
20210405,1200,1727,66417,66423,64608
20210406,1200,1795,70777,70783,68784
20210407,1200,1584,57603,57609,56158
20210408,1200,1617,59594,59599,58068
20210409,1200,1555,55876,55881,54500
20210410,1200,1424,48328,48333,47251
20210411,1200,1349,44201,44205,43281
20210412,1200,1193,36083,36086,35460
20210413,1200,1102,31648,31651,31179
20210414,1200,1065,29910,29913,29499
20210415,1200,1064,29864,29867,29454
20210416,1200,1127,32844,32847,32334
20210417,1200,1244,38666,38670,37951
20210418,1200,1410,47547,47552,46500
20210419,1200,1700,64716,64722,62978
20210420,1200,1788,70323,70329,68350
20210421,1200,1723,66164,66170,64366
20210422,1200,1729,66544,66550,64730
20210423,1200,1717,65785,65791,64003
20210424,1200,1786,70193,70200,68226
20210425,1200,1961,81864,81871,79394
20210426,1200,2283,105100,105110,101600
20210427,1200,2186,97866,97874,94687
20210428,1200,2035,87005,87012,84310
20210429,1200,2133,93998,94006,90992
20210430,1200,2577,128220,128230,123650
20210501,1200,3339,196010,196020,188210
20210502,1200,3865,248980,249000,238610
20210503,1200,3440,205800,205820,197530
20210504,1200,3026,166840,166850,160440
20210505,1200,2875,153420,153430,147660
20210506,1200,2891,154820,154830,149000
20210507,1200,3425,204340,204350,196140
20210508,1200,3434,205220,205230,196970
20210509,1200,2940,159140,159150,153110
20210510,1200,2549,125940,125950,121480
20210511,1200,2315,107530,107540,103910
20210512,1200,2190,98160,98169,94969
20210513,1200,2222,100530,100540,97229
20210514,1200,2446,117700,117710,113620
20210515,1200,2665,135480,135490,130570
20210516,1200,2851,151320,151330,145670
20210517,1200,3098,173390,173400,166680
20210518,1200,3363,198320,198330,190410
20210519,1200,3100,173570,173580,166850
20210520,1200,2888,154550,154570,148750
20210521,1200,2702,138580,138590,133520
20210522,1200,2368,111600,111610,107800
20210523,1200,2172,96838,96847,93706
20210524,1200,2091,90975,90983,88104
20210525,1200,2026,86373,86381,83706
20210526,1200,2255,102990,103000,99582
20210527,1200,2850,151240,151250,145580
20210528,1200,2606,130590,130600,125910
20210529,1200,2516,123280,123290,118940
20210530,1200,2400,114090,114100,110170
20210531,1200,2377,112300,112310,108470
20210601,1200,2411,114950,114960,110990
20210602,1200,2519,123520,123530,119170
20210603,1200,2670,135900,135910,130970
20210604,1200,2737,141530,141540,136340
20210605,1200,2658,134900,134910,130010
20210606,1200,2321,107990,108000,104350
20210607,1200,2025,86303,86310,83639
20210608,1200,1839,73654,73661,71540
20210609,1200,1713,65533,65539,63761
20210610,1200,1903,77919,77926,75621
20210611,1200,2507,122550,122560,118250
20210612,1200,1904,77986,77993,75685
20210613,1200,1749,67816,67822,65948
20210614,1200,1708,65218,65224,63459
20210615,1200,1672,62970,62975,61304
20210616,1200,1572,56886,56891,55470
20210617,1200,1424,48328,48333,47251
20210618,1200,1323,42804,42808,41937
20210619,1200,1246,38769,38773,38050
20210620,1200,1173,35089,35092,34501
20210621,1200,1100,31553,31556,31087
20210622,1200,1040,28758,28760,28384
20210623,1200,993,26639,26642,26333
20210624,1200,984,26241,26243,25947
20210625,1200,894,22387,22389,22209
20210626,1200,810,19009,19011,18925
20210627,1200,748,16657,16659,16632
20210628,1200,694,14709,14711,14729
20210629,1200,645,13025,13026,13080
20210630,1200,593,11326,11327,11413
20210701,1200,561,10328,10329,10431
20210702,1200,595,11390,11391,11475
20210703,1200,547,9902,9903,10012
20210704,1200,485,8105,8106,8237
20210705,1200,446,7048,7049,7190
20210706,1200,415,6250,6251,6397
20210707,1200,392,5683,5683,5832
20210708,1200,374,5254,5254,5404
20210709,1200,357,4861,4862,5012
20210710,1200,341,4503,4503,4652
20210711,1200,323,4112,4113,4261
20210712,1200,308,3798,3798,3944
20210713,1200,291,3454,3454,3597
20210714,1200,278,3199,3200,3340
20210715,1200,265,2953,2953,3091
20210716,1200,252,2714,2714,2849
20210717,1200,244,2571,2571,2703
20210718,1200,238,2466,2466,2597
20210719,1200,228,2295,2295,2422
20210720,1200,220,2161,2161,2286
20210721,1200,222,2194,2194,2319
20210722,1200,224,2228,2228,2353
20210723,1200,210,1999,1999,2120
20210724,1200,193,1735,1735,1848
20210725,1200,185,1616,1616,1726
20210726,1200,176,1486,1486,1592
20210727,1200,171,1415,1415,1519
20210728,1200,168,1374,1374,1476
20210729,1200,162,1292,1292,1391
20210730,1200,157,1226,1226,1322
20210731,1200,148,1110,1110,1202
20210801,1200,144,1060,1060,1149
20210802,1200,275,3142,3142,3282
20210803,1200,386,5538,5539,5688
20210804,1200,235,2414,2414,2544
20210805,1200,184,1601,1601,1711
20210806,1200,167,1360,1360,1462
20210807,1200,193,1735,1735,1848
20210808,1200,174,1457,1457,1562
20210809,1200,183,1586,1586,1696
20210810,1200,194,1750,1750,1864
20210811,1200,165,1333,1333,1433
20210812,1200,146,1085,1085,1175
20210813,1200,136,962,962,1048
20210814,1200,127,857,858,938
20210815,1200,120,779,779,855
20210816,1200,117,747,747,821
20210817,1200,112,694,694,765
20210818,1200,114,715,715,787
20210819,1200,131,904,904,986
20210820,1200,146,1085,1085,1175
20210821,1200,138,986,986,1073
20210822,1200,241,2518,2519,2650
