"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime"
"1","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100439","Sample-Routine","Water","Surface Water",2021-03-24,"18:38:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100","Turbidity, NTU: 3.0233",NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96 bag sampler",NA,"Stream flow, instantaneous",NA,528,"ft3/s",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"00061",NA,NA,NA,NA,NA,"QSCMM","USGS","Disch., meas., midsection","USGS TWRI 3-A8","U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-03-25 01:38:00,NA
"2","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100439","Sample-Routine","Water","Surface Water",2021-03-24,"18:38:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100","Turbidity, NTU: 3.0233",NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96 bag sampler",NA,"Suspended Sediment Discharge","Suspended",4.3,"tons/day",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"80155",NA,NA,NA,NA,NA,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,"NWIS",2021-03-25 01:38:00,NA
"3","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100438","Sample-Routine","Water","Surface Water",2021-03-24,"13:45:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-81",NA,"Suspended Sediment Concentration (SSC)","Suspended",5,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"80154",NA,NA,NA,NA,NA,"SED16","USGS","Sediment conc from size analysis",NA,"USGS-Cascades Volcano Obs Sed Analysis Lab, Vancouver, WA",2021-09-24,NA,"Lower Reporting Limit",1,"mg/l",2021-04-07,"NWIS",2021-03-24 20:45:00,NA
"4","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100438","Sample-Routine","Water","Surface Water",2021-03-24,"13:45:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-81",NA,"Suspended Sediment Discharge","Suspended",2.2,"tons/day",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"80155",NA,NA,NA,NA,NA,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,"NWIS",2021-03-24 20:45:00,NA
"5","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100438","Sample-Routine","Water","Surface Water",2021-03-24,"13:45:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-81",NA,"Turbidity","Total",5.2,"FNU",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"63680",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-03-24 20:45:00,NA
"6","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100547","Sample-Routine","Water","Surface Water",2021-05-07,"08:45:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Suspended Sediment Concentration (SSC)","Suspended",28,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"80154",NA,NA,NA,NA,NA,"SED16","USGS","Sediment conc from size analysis",NA,"USGS-Cascades Volcano Obs Sed Analysis Lab, Vancouver, WA",2022-02-12,NA,"Lower Reporting Limit",1,"mg/l",2021-05-13,"NWIS",2021-05-07 15:45:00,NA
"7","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100547","Sample-Routine","Water","Surface Water",2021-05-07,"08:45:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Suspended Sediment Discharge","Suspended",285,"tons/day",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"80155",NA,NA,NA,NA,NA,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,"NWIS",2021-05-07 15:45:00,NA
"8","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100439","Sample-Routine","Water","Surface Water",2021-03-24,"18:38:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100","Turbidity, NTU: 3.0233",NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96 bag sampler",NA,"Suspended Sediment Concentration (SSC)","Suspended",3,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"80154",NA,NA,NA,NA,NA,"SED16","USGS","Sediment conc from size analysis",NA,"USGS-Cascades Volcano Obs Sed Analysis Lab, Vancouver, WA",2021-09-24,NA,"Lower Reporting Limit",1,"mg/l",2021-04-07,"NWIS",2021-03-25 01:38:00,NA
"9","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100440","Sample-Routine","Water","Surface Water",2021-03-24,"13:23:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96 bag sampler",NA,"Stream flow, instantaneous",NA,732,"ft3/s",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"00061",NA,NA,NA,NA,NA,"QSCMM","USGS","Disch., meas., midsection","USGS TWRI 3-A8","U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-03-24 20:23:00,NA
"10","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100703","Sample-Routine","Water","Surface Water",2021-06-23,"12:30:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Suspended Sediment Concentration (SSC)","Suspended",3,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"80154",NA,NA,NA,NA,NA,"SED16","USGS","Sediment conc from size analysis",NA,"USGS-Cascades Volcano Obs Sed Analysis Lab, Vancouver, WA",2022-03-22,NA,"Lower Reporting Limit",1,"mg/l",2021-07-26,"NWIS",2021-06-23 19:30:00,NA
"11","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100703","Sample-Routine","Water","Surface Water",2021-06-23,"12:30:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Suspended Sediment Discharge","Suspended",8.1,"tons/day",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"80155",NA,NA,NA,NA,NA,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,"NWIS",2021-06-23 19:30:00,NA
"12","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100703","Sample-Routine","Water","Surface Water",2021-06-23,"12:30:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Turbidity","Total",0.7,"FNU",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"63680",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-06-23 19:30:00,NA
"13","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100703","Sample-Routine","Water","Surface Water",2021-06-23,"12:30:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Stream flow, instantaneous",NA,1000,"ft3/s",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"00061",NA,NA,NA,NA,NA,"QADCP","USGS","Disch., meas., ADCP moving boat","USGS OF 01-1","U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-06-23 19:30:00,NA
"14","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100547","Sample-Routine","Water","Surface Water",2021-05-07,"08:45:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Turbidity","Total",10,"FNU",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"63680",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-05-07 15:45:00,NA
"15","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100672","Sample-Routine","Water","Surface Water",2021-06-08,"08:30:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Falling stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-95 plastic bottle",NA,"Stream flow, instantaneous",NA,368,"ft3/s",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"00061",NA,NA,NA,NA,NA,"QSTGQ","USGS","Discharge, stg-disch rating","USGS TWRI 3-A10","U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-06-08 15:30:00,NA
"16","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100585","Sample-Routine","Water","Surface Water",2021-05-12,"12:10:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96-A1 Bag Sampler",NA,"Stream flow, instantaneous",NA,2230,"ft3/s",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"00061",NA,NA,NA,NA,NA,"QADCP","USGS","Disch., meas., ADCP moving boat","USGS OF 01-1","U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-05-12 19:10:00,NA
"17","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100547","Sample-Routine","Water","Surface Water",2021-05-07,"08:45:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Stream flow, instantaneous",NA,3770,"ft3/s",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"00061",NA,NA,NA,NA,NA,"QSTGQ","USGS","Discharge, stg-disch rating","USGS TWRI 3-A10","U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-05-07 15:45:00,NA
"18","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100672","Sample-Routine","Water","Surface Water",2021-06-08,"08:30:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Falling stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-95 plastic bottle",NA,"Suspended Sediment Discharge","Suspended",3,"tons/day",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"80155",NA,NA,NA,NA,NA,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,"NWIS",2021-06-08 15:30:00,NA
